name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Star of Hope,4806882,2103923,84907,78687,1961478,464130,817683,59885,https://cheese.formice.com/transformice/tribe/825183
Hell Scream,7278047,2511654,281955,55520,2200003,849913,648551,117020,https://cheese.formice.com/transformice/tribe/1134838
Powermaus,2172690,893839,255140,21991,1694733,693542,703647,83355,https://cheese.formice.com/transformice/tribe/976447
LeGeNdS_TFM,11436495,3718023,306697,73195,2386040,808402,422492,127370,https://cheese.formice.com/transformice/tribe/1102441
Vanilla time,2994292,1264281,256221,30594,1860887,891236,733117,91400,https://cheese.formice.com/transformice/tribe/1131166
? ? ?,1143945,504042,252567,56056,1275199,739760,333743,65925,https://cheese.formice.com/transformice/tribe/414718
Formidable,3319440,1446897,273416,17665,1851590,813132,51511,76766,https://cheese.formice.com/transformice/tribe/15720
R E V E A L E D,7775571,3117201,440644,147489,1778635,623418,404720,86160,https://cheese.formice.com/transformice/tribe/955838
The Crystal Galaxy,9240816,3124330,133661,29252,2390820,597514,700053,98522,https://cheese.formice.com/transformice/tribe/1083837
DH3,2356197,1019866,289007,19135,1660371,875937,107440,69176,https://cheese.formice.com/transformice/tribe/13662
NY'',7624070,2506594,506063,29797,2441271,972644,5717,78042,https://cheese.formice.com/transformice/tribe/211639
Tiqer Kaplan,11431634,3508184,323860,75638,2493230,713049,303495,108554,https://cheese.formice.com/transformice/tribe/636216
Louder,7551137,2457627,416375,63738,2458389,912716,608905,127536,https://cheese.formice.com/transformice/tribe/752819
Skilled Brazilians,11374483,3744305,767075,110578,1901879,660211,530808,100921,https://cheese.formice.com/transformice/tribe/1137460
uwuhell,8566594,3019738,236421,69208,2136573,584011,926225,88728,https://cheese.formice.com/transformice/tribe/1138415
Unidentified Dreams World,3645611,1436904,322599,38201,1917423,662674,888505,102592,https://cheese.formice.com/transformice/tribe/1044804
k,2840855,1441268,295574,88895,1528793,500850,693241,57412,https://cheese.formice.com/transformice/tribe/413211
R E A L Perfect,11121301,3441953,293373,93343,2358911,846175,324611,114826,https://cheese.formice.com/transformice/tribe/1123911
???????? ?????,3291041,1404762,610478,32248,1702537,739686,573029,84320,https://cheese.formice.com/transformice/tribe/8783
D0M1N4D0RE5,8101037,2725382,529836,127333,2208234,774620,463113,125381,https://cheese.formice.com/transformice/tribe/1126144
Desert Roses,1837940,894486,214846,29874,1401780,464185,461048,70099,https://cheese.formice.com/transformice/tribe/1095256
Soup,8664905,2798635,196632,41022,2297871,709450,224614,77469,https://cheese.formice.com/transformice/tribe/64993
Kedi patisi,12401061,3657907,273212,59438,2289943,475187,313454,91825,https://cheese.formice.com/transformice/tribe/1119601
Bom de Guerra,11063614,3616271,249588,67544,1830337,512150,186013,93500,https://cheese.formice.com/transformice/tribe/1070934
'Angels and Demons',9425172,3008551,206556,41446,2234438,795561,230137,107578,https://cheese.formice.com/transformice/tribe/354379
Evildromouse,1404271,709137,198912,18945,1244947,668795,37706,54598,https://cheese.formice.com/transformice/tribe/524890
World LGBTQ Pride,9265004,2966999,175860,29654,2223444,692259,625441,119346,https://cheese.formice.com/transformice/tribe/1130732
Anonymouse,4762506,1856028,164398,29098,1897633,720301,308751,69941,https://cheese.formice.com/transformice/tribe/900
Unrank,643444,298028,120500,87819,916948,572686,231419,50742,https://cheese.formice.com/transformice/tribe/720248
One year four sets simazoooo,4169032,1791205,85939,69769,1699929,485261,605526,52920,https://cheese.formice.com/transformice/tribe/750356
The Cutiest Mouse,5796511,2245473,78514,22931,1851144,386460,244096,52935,https://cheese.formice.com/transformice/tribe/616660
20 Exp,9955911,3107481,256079,92788,2181834,587504,496720,101625,https://cheese.formice.com/transformice/tribe/1133865
Cannon racers,12009120,3522461,279053,65687,2229088,654878,338337,108573,https://cheese.formice.com/transformice/tribe/716958
O Boticario,1634178,694966,187396,8967,1358254,826640,106540,56705,https://cheese.formice.com/transformice/tribe/815389
ForBrotherHood,11516974,3385854,283706,46204,2252318,441854,158574,80687,https://cheese.formice.com/transformice/tribe/780744
ProdigioSS,10615136,3398193,291919,56254,2132965,705527,367512,115697,https://cheese.formice.com/transformice/tribe/1135884
9Nie Zone,6000620,2373810,219517,87766,1720936,610860,497178,77029,https://cheese.formice.com/transformice/tribe/1070515
Blvd Mice,2765237,1202587,295103,42512,1560241,643392,450212,77185,https://cheese.formice.com/transformice/tribe/596652
Get The Bang To Move Your Gang,3982635,1588287,229270,82337,1760928,762633,571465,92615,https://cheese.formice.com/transformice/tribe/1140962
tut powlo,2670231,1166365,288866,68319,1537836,410114,722473,86411,https://cheese.formice.com/transformice/tribe/890481
We know stuff,1741977,839831,179313,9390,1321353,641196,73435,63261,https://cheese.formice.com/transformice/tribe/78583
Otakus forever s2,11349492,3329795,207898,57667,2174910,618257,422586,100256,https://cheese.formice.com/transformice/tribe/1078366
The Last'Hope,2149208,897074,234183,23779,1458262,711182,370012,76261,https://cheese.formice.com/transformice/tribe/854603
KKKKKKKKKKKKKKKKKKKKK,1909866,845051,211088,20551,1375443,561486,499092,77949,https://cheese.formice.com/transformice/tribe/856503
The Invictus,9000651,2975259,351733,97858,1799100,563316,478781,92900,https://cheese.formice.com/transformice/tribe/1141257
Fluffy Cats,8661706,2800639,147146,49900,2009066,518301,678842,76705,https://cheese.formice.com/transformice/tribe/907796
Edward's,499286,268615,120508,8806,770476,440138,207256,34521,https://cheese.formice.com/transformice/tribe/1137043
nao ligo p vc,1888657,757036,188638,8998,1398946,651007,445327,76503,https://cheese.formice.com/transformice/tribe/1045934
so cornos,6689301,2166558,537550,42390,2017457,816764,503750,121296,https://cheese.formice.com/transformice/tribe/1100855
